Создатель Node.js попросил Oracle сделать общедоступным товарный знак JavaScript;JavaScript *Патентование *История IT IT-компании ;"

Создатель Node.js и автор Deno Райан Даль в открытом письме попросил компанию Oracle сделать общедоступным товарный знак JavaScript. "; denis-19 ;6  сентября   в 13:29;https://habr.com/ru/news/t/686650/
Microsoft поддерживает добавление в JavaScript необязательного и стираемого синтаксиса типов;JavaScript *Программирование *TypeScript *;Microsoft поддержала предложение добавить в JavaScript необязательный и стираемый синтаксис типов, чтобы сделать язык TypeScript быстрее и проще в использовании.; maybe_elf ;15  марта   в 13:47;https://habr.com/ru/news/t/655749/
В «Джеймсе Уэббе» используется ПО на движке JavaScript 20-летней давности;JavaScript *Научно-популярное Астрономия ;В системе управления космического телескопа «Джеймс Уэбб» обнаружили ПО Script Processor (SP, обработчик сценариев) на движке JavaScript 20-летней давности, передаёт портал The Verge. Это ПО управляет модулем ISIM (Integrated Science Instrument Module) с научными приборами NIRCam, NIRSpec, MIRI и FGS-NIRISS. SP запускает определённые скрипты на JS, когда на это поступает соответствующая команда. В свою очередь для написания команд используется SDK Nombas ScriptEase 5.00e. Пакет получал последнее обновление в 2003 году, после чего Nombas обанкротилась. Кроме того, сам SP написан на C++.; ancotir ;22  августа   в 01:56;https://habr.com/ru/news/t/683818/
Linux Foundation запустил «перезагрузку» JavaScript-сообщества;Open source *JavaScript *Node.JS *;"

Linux Foundation объявила о масштабном проекте по поддержке JS-сообщества. Новая организация JS Foundation (бывший jQuery Foundation) станет площадкой для сотрудничества и развития открытых проектов, связанных с использованием языка JavaScript. Целью проекта также является продвижение высококачественных стандартов разработки как серверных, так и клиентских JS-проектов. 

Руководство нового организации также будет опираться на стандарты W3C, WHATWG, и ECMA TC39, которые приняты разработчиками и вендорами во всем мире.

Более того, JS Foundation запускает программу наставничества (Mentorship Program), которая как раз поможет достичь поставленных целей: она позволит укрепить сообщество и активизировать сотрудничество между JS-разработчиками. "; semen_grinshtein ;18  октября  2016 в 13:54;https://habr.com/ru/news/t/313000/
Завершён перевод «Современного учебника JavaScript»;Разработка веб-сайтов *JavaScript *Программирование *Профессиональная литература *;"Многие разработчики изучали JavaScript по известному учебнику Ильи Кантора — learn.javascript.ru. Однако до недавнего времени в нём была недостаточно современная информация: учебник развивался, но на английском языке. Он доступен по адресу javascript.info. Несколько месяцев мы занимались переводом этого учебника на русский язык, и сегодня я рад анонсировать перевод — он опубликован на learn.javascript.ru. Так что теперь самая современная версия учебника доступна и на английском, и на русском.

Теперь в учебнике используется современный стандарт языка ES 2019 и учтены некоторые stage 3 proposals (они помечены в тексте).

Вот некоторые хабрапользователи, которые принимали активное участие в переводе:


iliakan
kichik91
dandgerson
lex111
gorborborgor
nglazov
MrShtein
alfill

Разумеется, это только небольшая часть команды. Все, кто сделал вклад от 10 строк, перечислены прямо на сайте учебника."; aruseni ;7  августа  2019 в 02:40;https://habr.com/ru/news/t/462791/
Google выпустила патч для Chrome 99, который устраняет уязвимость нулевого дня в JavaScript-движке V8;Информационная безопасность *JavaScript *Google Chrome Браузеры ;Google выпустила внеочередное обновление Chrome 99.0.4844.84 для Windows, macOS и Linux. В нем компания устранила уязвимость нулевого дня, которая эксплуатировалась злоумышленниками. Она получила номер CVE-2022-1096 и связана с отсутствием проверки типов объектов JavaScript-движком Chrome V8.; maybe_elf ;28  марта   в 12:04;https://habr.com/ru/news/t/657751/
Cloudflare: библиотеки JavaScript практически никогда не обновляются после установки;Разработка веб-сайтов *JavaScript *Программирование *jQuery *Исследования и прогнозы в IT *;"

Cloudflare, американская компания, которая предоставляет услуги CDN и защиту от DDoS-атак, опубликовала пост на своём сайте с результатами анализа частоты обновления библиотек Javascript, используемых на сайтах. Для этого эксперты компании собрали данные из запросов сети доставки контента CDNJS."; AnnieBronson ;29  января  2020 в 14:02;https://habr.com/ru/news/t/486068/
Google Chrome начнет блокировать JavaScript-редирект по кликам на ссылки;Информационная безопасность *JavaScript *Google Chrome Браузеры ;"

В Google Chrome появится новая функция безопасности при переходе по ссылкам, которые открывают URL-адреса в новом окне или вкладке. Она будет блокировать попытки использовать JavaScript для перенаправления пользователя на вредоносную страницу."; maybe_elf ;11  ноября  2020 в 12:56;https://habr.com/ru/news/t/527480/
В EPAM Anywhere стартовал JavaScript Hiring Sprint;Блог компании EPAM JavaScript *;Команда EPAM Anywhere приглашает JavaScript специалистов уровня Middle/Senior/Lead и Architect с опытом работы от 2 лет, английским В1+ и знанием Cloud (AWS, Azure, GCP) принять участие в JavaScript Hiring Sprint. Заявки принимаются с 6 по 17 декабря.; vesyolkinaolga ;6  декабря  2021 в 21:26;https://habr.com/ru/company/epam_systems/news/t/593779/
EPAM Anywhere приглашает на JavaScript Hiring Sprint;Блог компании EPAM JavaScript *;Мы приглашаем JavaScript специалистов уровня Middle/Senior/Lead и Architect с опытом работы от 2 лет, английским В1+ и знанием Cloud (AWS, Azure, GCP) принять участие в JavaScript Hiring Sprint.Вы можете получить оффер в течение 48 часов после прохождения интервью и бонус, когда станете частью нашей команды.  ; vesyolkinaolga ;14  февраля   в 21:43;https://habr.com/ru/company/epam_systems/news/t/651547/
